#Time : 20:27:38 07-16-2026
#File : ../data/cluster_2_MM.csv
#Number_of_genes : 16644
#Program : Standard
#MAX_RUNS : 40000
#Interrupt_runs : 1000
#Num_Patterns : 3
#Distribution : 
#Total_error : 362.731
#Total_running_time : 0d0h32m14.912s
#"patternTwoLT",0.527994  0.26754 0.376936 0.378721
#"",0.211957 0.343008 0.433957 0.434216
#"", 0.31093 0.503358 0.299298 0.296989
row-0,0.496944,0.360493,0.427213,3.91574e-05
row-1,0.497382,0.359891,0.427387,0.000283381
row-2,0.49666,0.364664,0.424786,0.0221481
row-3,0.497063,0.360968,0.426647,0.000228408
row-4,0.494784,0.36248,0.427047,0.000822667
row-5,0.496966,0.460007,0.359218,0.0462267
row-6,0.497357,0.372329,0.418724,0.0101531
row-7,0.49671,0.586344,0.273669,0.0373458
row-8,0.49718,0.473567,0.349972,0.03549
row-9,0.49693,0.360497,0.427221,3.92955e-05
row-10,0.497016,0.360226,0.427318,0.000148541
row-11,0.496591,0.717043,0.184674,0.00968004
row-12,0.497188,0.360694,0.426813,0.000209319
row-13,0.496756,0.360901,0.426976,0.000147774
row-14,0.497287,0.405039,0.396191,0.0157311
row-15,0.496305,0.361093,0.427216,0.000300338
row-16,0.326398,0.362624,0.715479,0.0222249
row-17,0.497078,0.388895,0.407687,0.0205314
row-18,0.496928,0.458738,0.360178,0.0256318
row-19,0.496644,0.360729,0.427308,0.000176669
row-20,0.4968,0.36111,0.426765,0.000257502
row-21,0.833039,0.00146132,0.000162532,0.107474
row-22,0.497615,0.360903,0.42586,0.000412027
row-23,0.49698,0.360306,0.427274,0.000112703
row-24,0.496731,0.442028,0.371679,0.0226737
row-25,0.167709,0.559772,0.850406,0.0215438
row-26,0.497103,0.435115,0.376239,0.0154168
row-27,0.497078,0.3604,0.427074,0.000121154
row-28,0.496174,0.360252,0.428371,0.000517456
row-29,0.496948,0.360808,0.426878,0.000132158
row-30,0.614537,0.0442595,0.443236,0.0393439
row-31,0.624427,0.000108973,0.348038,0.0825863
row-32,0.497073,0.4689,0.35329,0.0221198
row-33,0.193055,0.562469,0.805129,0.00309996
row-34,0.496884,0.36006,0.427907,0.000323825
row-35,0.496992,0.360315,0.427425,0.000151398
row-36,0.497172,0.569239,0.28485,0.0328771
row-37,0.497101,0.390529,0.406781,0.0133984
row-38,0.496774,0.40243,0.398779,0.00982561
row-39,0.496639,0.50704,0.327673,0.0421203
row-40,0.497147,0.402768,0.398151,0.0135013
row-41,0.49699,0.360904,0.42662,0.000216815
row-42,0.293139,0.31909,0.801385,0.025499
row-43,0.497239,0.716236,0.184363,0.0728788
row-44,0.194295,0.571079,0.79779,0.0490445
row-45,0.497119,0.416101,0.389155,0.0518325
row-46,0.497778,0.360367,0.426483,0.000434362
row-47,0.496475,0.635188,0.240245,0.0272452
row-48,0.49657,0.816258,0.117096,0.0028991
row-49,0.326014,0.458317,0.650747,0.017872
row-50,0.77828,0.000837154,0.028927,0.0954128
row-51,0.496954,0.360715,0.426955,8.63951e-05
row-52,0.497117,0.360633,0.42674,0.000171463
row-53,0.496835,0.360556,0.427286,8.0682e-05
row-54,0.496801,0.362894,0.425637,0.0192557
row-55,0.497063,0.360738,0.426852,0.000130838
row-56,0.497054,0.360681,0.426775,0.000150793
row-57,0.429716,0.00325133,0.0681048,0.298871
row-58,0.496761,0.36021,0.427883,0.0503549
row-59,0.495806,0.361537,0.427177,0.000465596
row-60,0.496356,0.361854,0.426535,0.000558169
row-61,0.497204,0.360085,0.427442,0.000227336
row-62,0.496445,0.365185,0.424271,0.0187576
row-63,0.293062,0.26705,0.837188,0.00916386
row-64,0.497221,0.360998,0.426154,0.00033876
row-65,0.618126,0.000602224,0.113389,0.133354
row-66,0.893481,0.000167722,6.36015e-05,0.0693553
row-67,0.496899,0.435917,0.375857,0.00574922
row-68,0.536427,0.186102,0.47906,0.00857108
row-69,0.496577,0.360615,0.427464,0.000206487
row-70,0.497232,0.360873,0.426368,0.000252653
row-71,0.496242,0.360039,0.428611,0.000508294
row-72,0.497101,0.458114,0.360658,0.0340627
row-73,0.496682,0.359752,0.428155,0.000466283
row-74,0.497336,0.36029,0.426939,0.000210974
row-75,0.496755,0.360172,0.427705,0.000256248
row-76,0.4973,0.360181,0.427187,0.000145503
row-77,0.489965,7.74627e-05,0.413471,0.132867
row-78,0.496571,0.619724,0.250734,0.00791711
row-79,0.496825,0.394093,0.40426,0.0118744
row-80,0.497062,0.360982,0.426648,0.000232428
row-81,0.496714,0.383888,0.411411,0.0143849
row-82,0.497022,0.601596,0.262716,0.00810188
row-83,0.496754,0.36065,0.427169,0.000120502
row-84,0.496935,0.488897,0.339541,0.0346554
row-85,0.21407,0.289444,0.956108,0.0232374
row-86,0.496615,0.360649,0.427569,0.000287894
row-87,0.496916,0.360511,0.427347,0.00020019
row-88,0.496939,0.365145,0.424079,0.00947476
row-89,0.614752,0.181456,0.349448,0.00369316
row-90,0.497173,0.360949,0.426308,0.000291778
row-91,0.497179,0.371647,0.419196,0.0140975
row-92,0.496695,0.404913,0.397131,0.0372462
row-93,0.496809,0.487753,0.34053,0.0126139
