#Time : 20:27:05 07-16-2026
#File : ../data/cluster_3_MM.csv
#Number_of_genes : 16644
#Program : Standard
#MAX_RUNS : 40000
#Interrupt_runs : 1000
#Num_Patterns : 3
#Distribution : 
#Total_error : 147.386
#Total_running_time : 0d0h31m17.622s
#"patternThreeLT",0.460237 0.267471 0.461853 0.462834
#"", 0.31558 0.521643 0.314784 0.314507
#"", 0.37787 0.376646 0.376509 0.375664
row-0,0.46712,0.438465,0.463996,0.000612941
row-1,0.536441,0.499301,0.331049,0.00159916
row-2,0.483305,0.387036,0.482514,0.00410166
row-3,0.512286,0.481467,0.370246,0.000982742
row-4,0.522626,0.401949,0.419939,0.0056025
row-5,0.565383,0.498255,0.291299,0.00116056
row-6,0.537568,0.491422,0.331525,0.00363677
row-7,0.000229186,0.999995,0.534562,0.025258
row-8,0.554875,0.455321,0.333073,0.00450643
row-9,0.507227,0.465261,0.387593,0.00291167
row-10,0.466542,0.435903,0.467767,0.00166411
row-11,0.201167,0.67871,0.558258,0.021093
row-12,0.475704,0.446505,0.446609,0.00200554
row-13,0.415331,0.389268,0.567253,0.00117247
row-14,0.474985,0.386729,0.47087,0.0139247
row-15,0.489379,0.460115,0.418438,0.000284308
row-16,0.538184,0.431785,0.348638,0.0191333
row-17,0.458952,0.24331,0.40852,0.100057
row-18,0.496113,0.387331,0.437589,0.0133709
row-19,0.462111,0.434132,0.473553,0.000353208
row-20,0.520364,0.488392,0.357083,0.00122411
row-21,0.233566,0.813951,0.413203,0.00836832
row-22,0.443298,0.408942,0.517594,0.000736664
row-23,0.485823,0.337841,0.51619,0.00738943
row-24,0.52029,0.398031,0.432174,0.00986041
row-25,0.694572,0.324325,0.258362,0.00967744
row-26,0.398648,0.280613,0.64284,0.0146433
row-27,0.526626,0.494693,0.343809,0.000570529
row-28,0.41819,0.348779,0.572566,0.0123738
row-29,0.440136,0.38511,0.549047,0.00395124
row-30,0.384127,0.691951,0.312642,0.0324312
row-31,0.610566,0.122883,0.478098,0.0374068
row-32,0.489843,0.353911,0.487206,0.0119115
row-33,0.615616,0.123018,0.465591,0.0415294
row-34,0.529918,0.497593,0.33758,0.000790541
row-35,0.547117,0.500812,0.317526,0.00347155
row-36,0.445984,0.325483,0.583272,0.00469326
row-37,0.439735,0.36325,0.55162,0.0114275
row-38,0.571042,0.534703,0.256821,0.00330058
row-39,0.469287,0.423408,0.472591,0.000918087
row-40,0.499644,0.443975,0.423016,0.00430209
row-41,0.473038,0.443309,0.452586,0.00110706
row-42,0.434602,0.354297,0.589526,0.00969951
row-43,0.593442,0.295009,0.402554,0.0172812
row-44,0.506259,0.426502,0.450286,0.0102477
row-45,0.492345,0.323065,0.502475,0.0108827
row-46,0.481078,0.451831,0.435502,0.00203895
row-47,0.600685,0.365331,0.355217,0.00982045
row-48,0.683061,0.197933,0.386509,0.0206606
row-49,0.577427,0.443928,0.318873,0.00886234
row-50,0.525957,0.377175,0.427648,0.00881473
row-51,0.507291,0.476624,0.382533,0.000462386
row-52,0.538813,0.507016,0.318383,0.000341822
row-53,0.383837,0.359524,0.632383,0.000918473
row-54,0.542793,0.443312,0.367086,0.0066943
row-55,0.445945,0.417488,0.50688,0.000490814
row-56,0.457079,0.428581,0.484567,0.000696435
row-57,0.653172,0.175868,0.455933,0.0199632
row-58,0.446331,0.273147,0.614505,0.00939373
row-59,0.475418,0.444472,0.449389,0.000874536
row-60,0.482942,0.442575,0.442876,0.00339538
row-61,0.45316,0.425131,0.492151,0.00131694
row-62,0.45505,0.375797,0.530252,0.00377205
row-63,0.108564,0.923091,0.494581,0.00435477
row-64,0.428495,0.40191,0.541997,0.000818881
row-65,0.491564,0.344634,0.511783,0.0100662
row-66,0.604472,0.338971,0.390698,0.010887
row-67,0.427856,0.353268,0.573099,0.00449492
row-68,0.776707,0.0476731,0.384058,0.023726
row-69,0.456541,0.418625,0.492397,0.00553424
row-70,0.496402,0.39433,0.464429,0.0082169
row-71,0.450703,0.417661,0.50327,0.00459593
row-72,0.521506,0.488528,0.353904,0.000934185
row-73,0.47195,0.443995,0.453177,0.000418233
row-74,0.486765,0.457911,0.423104,0.0013902
row-75,0.438709,0.310262,0.604848,0.00883018
row-76,0.524112,0.487797,0.352695,0.00087571
row-77,0.603899,0.306794,0.424017,0.012088
row-78,0.611965,0.41994,0.2905,0.0147194
row-79,0.454266,0.426913,0.488928,0.00052156
row-80,0.407165,0.382482,0.583935,0.000765358
row-81,0.516889,0.460065,0.384698,0.00542934
row-82,0.224693,0.903247,0.356626,0.0108366
row-83,0.362891,0.339589,0.675065,0.00175996
row-84,0.476672,0.267084,0.588395,0.00795052
row-85,0.580197,0.481403,0.301687,0.00734906
row-86,0.445821,0.417238,0.507203,0.000634166
row-87,0.461262,0.429561,0.477098,0.000948677
row-88,0.441289,0.401081,0.518881,0.00378698
row-89,0.604898,0.0644475,0.5919,0.0249944
row-90,0.454518,0.42641,0.487676,0.000466309
row-91,0.446607,0.411356,0.500793,0.00484301
row-92,0.475648,0.446676,0.446748,0.00185125
row-93,0.443893,0.372888,0.54434,0.00513156
row-94,0.462094,0.425511,0.482544,0.0014875
row-95,0.558728,0.520688,0.283195,0.00170074
row-96,0.599331,0.157744,0.391677,0.0638457
row-97,0.422829,0.352145,0.581427,0.00957126
row-98,0.563249,0.290281,0.472791,0.00124867
