#Time : 20:29:38 07-16-2026
#File : ../data/cluster_4_MM.csv
#Number_of_genes : 16644
#Program : Standard
#MAX_RUNS : 40000
#Interrupt_runs : 1000
#Num_Patterns : 3
#Distribution : 
#Total_error : 367.267
#Total_running_time : 0d0h33m34.031s
#"patternFourLT",0.418861 0.416119 0.450006 0.217711
#"",0.457179 0.302454 0.221836 0.382283
#"", 0.23694 0.386647 0.428377 0.514201
row-0,0.445508,0.412679,0.434579,7.49251e-05
row-1,0.445497,0.412516,0.434733,5.518e-05
row-2,0.255205,0.507695,0.587415,0.0164584
row-3,0.445732,0.41249,0.434513,9.69474e-05
row-4,0.415534,0.331124,0.643993,0.00140855
row-5,0.352524,0.407421,0.609117,0.0273016
row-6,0.444364,0.499414,0.269107,0.0140156
row-7,0.756218,0.0598264,0.565537,0.00903618
row-8,0.466026,0.294587,0.626152,0.00847314
row-9,0.445871,0.412224,0.434791,0.00578608
row-10,0.413311,0.666263,0.002329,0.0396849
row-11,0.531074,0.460116,0.19147,0.122455
row-12,0.44581,0.412372,0.434639,0.000156266
row-13,0.4454,0.412688,0.434722,7.31574e-05
row-14,0.520636,0.327088,0.466432,0.00395438
row-15,0.445236,0.411719,0.435667,0.000501716
row-16,0.720486,0.245267,0.271389,0.0355676
row-17,0.444589,0.622172,0.0322365,0.0784683
row-18,0.53073,0.316045,0.470291,0.031706
row-19,0.446944,0.411743,0.43386,0.000570716
row-20,0.445317,0.412785,0.434714,0.000106442
row-21,0.384421,0.531986,0.312428,0.00444848
row-22,0.445709,0.41236,0.434724,0.00475777
row-23,0.127202,0.800236,0.249408,0.00866122
row-24,0.558328,0.285026,0.481938,0.0178615
row-25,0.000717222,0.801228,0.47197,0.0631006
row-26,0.478131,0.487206,8.00509e-05,0.0816963
row-27,0.445146,0.41274,0.434854,0.000215035
row-28,0.556042,0.28726,0.481119,0.0111065
row-29,0.443828,0.414,0.435308,0.000790304
row-30,0.408889,0.585262,0.165885,0.0131663
row-31,0.84489,0.0228517,0.480607,0.00675414
row-32,0.598828,0.34136,0.301409,0.0177019
row-33,0.67677,0.271489,0.000277424,0.175838
row-34,0.445759,0.412767,0.434342,0.00019894
